ID,tList
2258,['GO:0008152']
2269,"['GO:0006139' 'GO:0006355' 'GO:0006725' 'GO:0006807' 'GO:0008152'
 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987' 'GO:0010467'
 'GO:0010468' 'GO:0010556' 'GO:0016070' 'GO:0018130' 'GO:0019219'
 'GO:0019222' 'GO:0019438' 'GO:0031323' 'GO:0031326' 'GO:0032774'
 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0043170' 'GO:0044237'
 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271' 'GO:0046483'
 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255'
 'GO:0065007' 'GO:0071704' 'GO:0080090' 'GO:0090304' 'GO:0097659'
 'GO:1901360' 'GO:1901362' 'GO:1901576' 'GO:1903506' 'GO:2000112'
 'GO:2001141']"
2302,"['GO:0006139' 'GO:0006325' 'GO:0006342' 'GO:0006348' 'GO:0006351'
 'GO:0006355' 'GO:0006464' 'GO:0006473' 'GO:0006475' 'GO:0006725'
 'GO:0006807' 'GO:0006996' 'GO:0008152' 'GO:0009058' 'GO:0009059'
 'GO:0009889' 'GO:0009890' 'GO:0009892' 'GO:0009987' 'GO:0010467'
 'GO:0010468' 'GO:0010556' 'GO:0010558' 'GO:0010605' 'GO:0010629'
 'GO:0016043' 'GO:0016070' 'GO:0016458' 'GO:0016569' 'GO:0016570'
 'GO:0016573' 'GO:0018130' 'GO:0018193' 'GO:0018205' 'GO:0018393'
 'GO:0018394' 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0019538'
 'GO:0031323' 'GO:0031324' 'GO:0031326' 'GO:0031327' 'GO:0032774'
 'GO:0034401' 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0036211'
 'GO:0040029' 'GO:0043170' 'GO:0043412' 'GO:0043543' 'GO:0043933'
 'GO:0043967' 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260'
 'GO:0044267' 'GO:0044271' 'GO:0044699' 'GO:0044763' 'GO:0045814'
 'GO:0045892' 'GO:0045934' 'GO:0046483' 'GO:0048519' 'GO:0048523'
 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051172' 'GO:0051252'
 'GO:0051253' 'GO:0051276' 'GO:0060255' 'GO:0065007' 'GO:0071704'
 'GO:0071840' 'GO:0080090' 'GO:0090304' 'GO:0097549' 'GO:0097659'
 'GO:1901360' 'GO:1901362' 'GO:1901564' 'GO:1901576' 'GO:1902679'
 'GO:1903506' 'GO:1903507' 'GO:2000112' 'GO:2000113' 'GO:2001141']"
2392,['GO:0006457' 'GO:0006458' 'GO:0009987' 'GO:0042026' 'GO:0061077']
2429,['GO:0008152' 'GO:0009987' 'GO:0015979' 'GO:0044237']
2433,"['GO:0009719' 'GO:0009725' 'GO:0009737' 'GO:0010033' 'GO:0033993'
 'GO:0042221' 'GO:0050896' 'GO:0097305' 'GO:1901700']"
2535,"['GO:0000460' 'GO:0000463' 'GO:0000466' 'GO:0000470' 'GO:0006139'
 'GO:0006364' 'GO:0006396' 'GO:0006725' 'GO:0006807' 'GO:0008152'
 'GO:0009987' 'GO:0010467' 'GO:0016070' 'GO:0016072' 'GO:0022613'
 'GO:0034470' 'GO:0034641' 'GO:0034660' 'GO:0042254' 'GO:0042273'
 'GO:0043170' 'GO:0044085' 'GO:0044237' 'GO:0044238' 'GO:0044260'
 'GO:0046483' 'GO:0071704' 'GO:0071840' 'GO:0090304' 'GO:1901360']"
2539,"['GO:0006464' 'GO:0006508' 'GO:0006511' 'GO:0006807' 'GO:0008152'
 'GO:0009056' 'GO:0009057' 'GO:0009987' 'GO:0016579' 'GO:0019538'
 'GO:0019941' 'GO:0030163' 'GO:0036211' 'GO:0043170' 'GO:0043412'
 'GO:0043632' 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044257'
 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0051603' 'GO:0070646'
 'GO:0070647' 'GO:0071704' 'GO:1901564' 'GO:1901565' 'GO:1901575']"
2592,"['GO:0006325' 'GO:0006342' 'GO:0006355' 'GO:0006996' 'GO:0009889'
 'GO:0009890' 'GO:0009892' 'GO:0009987' 'GO:0010468' 'GO:0010556'
 'GO:0010558' 'GO:0010605' 'GO:0010629' 'GO:0016043' 'GO:0016458'
 'GO:0019219' 'GO:0019222' 'GO:0031323' 'GO:0031324' 'GO:0031326'
 'GO:0031327' 'GO:0034401' 'GO:0040029' 'GO:0045814' 'GO:0045892'
 'GO:0045934' 'GO:0048519' 'GO:0048523' 'GO:0050789' 'GO:0050794'
 'GO:0051171' 'GO:0051172' 'GO:0051252' 'GO:0051253' 'GO:0060255'
 'GO:0065007' 'GO:0071840' 'GO:0080090' 'GO:0097549' 'GO:1902679'
 'GO:1903506' 'GO:1903507' 'GO:2000112' 'GO:2000113' 'GO:2001141']"
2617,"['GO:0006810' 'GO:0006869' 'GO:0010876' 'GO:0033036' 'GO:0044699'
 'GO:0044765' 'GO:0051179' 'GO:0051234' 'GO:0071702' 'GO:1902578']"
2645,"['GO:0006508' 'GO:0006807' 'GO:0008152' 'GO:0009056' 'GO:0009057'
 'GO:0009987' 'GO:0019538' 'GO:0030163' 'GO:0043170' 'GO:0044237'
 'GO:0044238' 'GO:0044248' 'GO:0044257' 'GO:0044260' 'GO:0044265'
 'GO:0044267' 'GO:0071704' 'GO:1901564' 'GO:1901565' 'GO:1901575']"
2662,"['GO:0006810' 'GO:0009987' 'GO:0044699' 'GO:0044763' 'GO:0044765'
 'GO:0051179' 'GO:0051234' 'GO:0055085' 'GO:1902578']"
2701,"['GO:0006629' 'GO:0008152' 'GO:0009056' 'GO:0016042' 'GO:0044238'
 'GO:0044699' 'GO:0044710' 'GO:0044712' 'GO:0071704' 'GO:1901575']"
2750,"['GO:0007154' 'GO:0007165' 'GO:0009987' 'GO:0023052' 'GO:0044699'
 'GO:0044700' 'GO:0044763' 'GO:0050789' 'GO:0050794' 'GO:0050896'
 'GO:0051716' 'GO:0065007']"
2791,"['GO:0006139' 'GO:0006351' 'GO:0006355' 'GO:0006725' 'GO:0006807'
 'GO:0008152' 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987'
 'GO:0010467' 'GO:0010468' 'GO:0010556' 'GO:0016070' 'GO:0018130'
 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0031323' 'GO:0031326'
 'GO:0032774' 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0043170'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271'
 'GO:0046483' 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051252'
 'GO:0060255' 'GO:0065007' 'GO:0071704' 'GO:0080090' 'GO:0090304'
 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576' 'GO:1903506'
 'GO:2000112' 'GO:2001141']"
2792,"['GO:0006810' 'GO:0009987' 'GO:0044699' 'GO:0044763' 'GO:0044765'
 'GO:0051179' 'GO:0051234' 'GO:0055085' 'GO:1902578']"
2840,"['GO:0006508' 'GO:0006511' 'GO:0006807' 'GO:0008152' 'GO:0009056'
 'GO:0009057' 'GO:0009987' 'GO:0019538' 'GO:0019941' 'GO:0030163'
 'GO:0043170' 'GO:0043632' 'GO:0044237' 'GO:0044238' 'GO:0044248'
 'GO:0044257' 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0051603'
 'GO:0071704' 'GO:1901564' 'GO:1901565' 'GO:1901575']"
2872,"['GO:0006139' 'GO:0006351' 'GO:0006355' 'GO:0006725' 'GO:0006807'
 'GO:0008152' 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987'
 'GO:0010467' 'GO:0010468' 'GO:0010556' 'GO:0016070' 'GO:0018130'
 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0031323' 'GO:0031326'
 'GO:0032774' 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0043170'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271'
 'GO:0046483' 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051252'
 'GO:0060255' 'GO:0065007' 'GO:0071704' 'GO:0080090' 'GO:0090304'
 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576' 'GO:1903506'
 'GO:2000112' 'GO:2001141']"
2935,"['GO:0006950' 'GO:0006979' 'GO:0008152' 'GO:0009056' 'GO:0009987'
 'GO:0042743' 'GO:0042744' 'GO:0044237' 'GO:0044248' 'GO:0050896'
 'GO:0072593']"
2979,"['GO:0000003' 'GO:0000902' 'GO:0000904' 'GO:0003006' 'GO:0007275'
 'GO:0009653' 'GO:0009791' 'GO:0009888' 'GO:0009908' 'GO:0009987'
 'GO:0010026' 'GO:0010090' 'GO:0016043' 'GO:0022414' 'GO:0030154'
 'GO:0032501' 'GO:0032502' 'GO:0032989' 'GO:0044699' 'GO:0044702'
 'GO:0044707' 'GO:0044763' 'GO:0044767' 'GO:0048367' 'GO:0048437'
 'GO:0048438' 'GO:0048443' 'GO:0048466' 'GO:0048468' 'GO:0048608'
 'GO:0048653' 'GO:0048658' 'GO:0048731' 'GO:0048827' 'GO:0048856'
 'GO:0048869' 'GO:0061458' 'GO:0071840' 'GO:0090558' 'GO:0090567'
 'GO:0090626' 'GO:0099402']"
2985,"['GO:0008152' 'GO:0009743' 'GO:0009746' 'GO:0009749' 'GO:0009987'
 'GO:0010033' 'GO:0015979' 'GO:0034284' 'GO:0042221' 'GO:0044237'
 'GO:0050896' 'GO:1901700']"
3028,"['GO:0006810' 'GO:0006811' 'GO:0006812' 'GO:0006873' 'GO:0006885'
 'GO:0009987' 'GO:0019725' 'GO:0030003' 'GO:0030004' 'GO:0030641'
 'GO:0034220' 'GO:0042592' 'GO:0048878' 'GO:0050801' 'GO:0051179'
 'GO:0051234' 'GO:0055067' 'GO:0055080' 'GO:0055082' 'GO:0055085'
 'GO:0065007' 'GO:0065008' 'GO:0098655' 'GO:0098660' 'GO:0098662'
 'GO:0098771' 'GO:1902600']"
3079,"['GO:0006412' 'GO:0006414' 'GO:0006417' 'GO:0006508' 'GO:0006511'
 'GO:0006518' 'GO:0006807' 'GO:0008152' 'GO:0009056' 'GO:0009057'
 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987' 'GO:0010467'
 'GO:0010468' 'GO:0010498' 'GO:0010556' 'GO:0010608' 'GO:0019222'
 'GO:0019538' 'GO:0019941' 'GO:0030163' 'GO:0031323' 'GO:0031326'
 'GO:0032268' 'GO:0034248' 'GO:0034641' 'GO:0034645' 'GO:0043043'
 'GO:0043161' 'GO:0043170' 'GO:0043603' 'GO:0043604' 'GO:0043632'
 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044249' 'GO:0044257'
 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0044271' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051246' 'GO:0051603' 'GO:0060255'
 'GO:0065007' 'GO:0071704' 'GO:0072344' 'GO:0080090' 'GO:1901564'
 'GO:1901565' 'GO:1901566' 'GO:1901575' 'GO:1901576' 'GO:1990116'
 'GO:2000112']"
3118,['GO:0008152']
3218,['GO:0008152' 'GO:0009058']
3252,"['GO:0006002' 'GO:0006793' 'GO:0006796' 'GO:0008152' 'GO:0009743'
 'GO:0009746' 'GO:0009749' 'GO:0009987' 'GO:0010033' 'GO:0015979'
 'GO:0019637' 'GO:0034284' 'GO:0042221' 'GO:0044237' 'GO:0050896'
 'GO:0071704' 'GO:1901135' 'GO:1901700']"
3263,"['GO:0006139' 'GO:0006351' 'GO:0006725' 'GO:0006807' 'GO:0008152'
 'GO:0009058' 'GO:0009059' 'GO:0009987' 'GO:0010467' 'GO:0016070'
 'GO:0018130' 'GO:0019438' 'GO:0032774' 'GO:0034641' 'GO:0034645'
 'GO:0034654' 'GO:0043170' 'GO:0044237' 'GO:0044238' 'GO:0044249'
 'GO:0044260' 'GO:0044271' 'GO:0046483' 'GO:0071704' 'GO:0090304'
 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576']"
3316,"['GO:0007154' 'GO:0007165' 'GO:0009987' 'GO:0023052' 'GO:0044699'
 'GO:0044700' 'GO:0044763' 'GO:0050789' 'GO:0050794' 'GO:0050896'
 'GO:0051716' 'GO:0065007']"
3334,"['GO:0000491' 'GO:0000492' 'GO:0006139' 'GO:0006325' 'GO:0006338'
 'GO:0006351' 'GO:0006355' 'GO:0006357' 'GO:0006464' 'GO:0006473'
 'GO:0006475' 'GO:0006725' 'GO:0006807' 'GO:0006996' 'GO:0008152'
 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987' 'GO:0010467'
 'GO:0010468' 'GO:0010556' 'GO:0016043' 'GO:0016070' 'GO:0016569'
 'GO:0016570' 'GO:0016573' 'GO:0018130' 'GO:0018193' 'GO:0018205'
 'GO:0018393' 'GO:0018394' 'GO:0019219' 'GO:0019222' 'GO:0019438'
 'GO:0019538' 'GO:0022607' 'GO:0022613' 'GO:0022618' 'GO:0031323'
 'GO:0031326' 'GO:0032774' 'GO:0034622' 'GO:0034641' 'GO:0034645'
 'GO:0034654' 'GO:0036211' 'GO:0043170' 'GO:0043412' 'GO:0043543'
 'GO:0043933' 'GO:0044085' 'GO:0044237' 'GO:0044238' 'GO:0044249'
 'GO:0044260' 'GO:0044267' 'GO:0044271' 'GO:0046483' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255' 'GO:0065003'
 'GO:0065007' 'GO:0071704' 'GO:0071826' 'GO:0071840' 'GO:0080090'
 'GO:0090304' 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901564'
 'GO:1901576' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
3504,['GO:0008152']
3592,"['GO:0006139' 'GO:0006351' 'GO:0006355' 'GO:0006725' 'GO:0006807'
 'GO:0008152' 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987'
 'GO:0010467' 'GO:0010468' 'GO:0010556' 'GO:0016070' 'GO:0018130'
 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0031323' 'GO:0031326'
 'GO:0032774' 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0043170'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271'
 'GO:0046483' 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051252'
 'GO:0060255' 'GO:0065007' 'GO:0071704' 'GO:0080090' 'GO:0090304'
 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576' 'GO:1903506'
 'GO:2000112' 'GO:2001141']"
3727,['GO:0008283' 'GO:0009987' 'GO:0044699']
3764,"['GO:0009719' 'GO:0009725' 'GO:0009733' 'GO:0010033' 'GO:0042221'
 'GO:0050896']"
3871,"['GO:0006605' 'GO:0006623' 'GO:0006810' 'GO:0006811' 'GO:0006820'
 'GO:0006886' 'GO:0006892' 'GO:0006896' 'GO:0007034' 'GO:0008104'
 'GO:0009987' 'GO:0015031' 'GO:0015833' 'GO:0016192' 'GO:0033036'
 'GO:0033365' 'GO:0034613' 'GO:0042886' 'GO:0045184' 'GO:0046907'
 'GO:0048193' 'GO:0051179' 'GO:0051234' 'GO:0051641' 'GO:0051649'
 'GO:0070727' 'GO:0071702' 'GO:0071705' 'GO:0072594' 'GO:0072665'
 'GO:0072666']"
3948,['GO:0006457' 'GO:0009987' 'GO:0061077']
3983,"['GO:0006928' 'GO:0007017' 'GO:0007018' 'GO:0009987' 'GO:0044699'
 'GO:0044763']"
3990,"['GO:0006082' 'GO:0006520' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009987' 'GO:0019752' 'GO:0043436' 'GO:0044237' 'GO:0044238'
 'GO:0044281' 'GO:0044699' 'GO:0044710' 'GO:0044763' 'GO:0071704'
 'GO:1901564']"
3994,"['GO:0006139' 'GO:0006351' 'GO:0006725' 'GO:0006807' 'GO:0007275'
 'GO:0008152' 'GO:0009058' 'GO:0009059' 'GO:0009987' 'GO:0010467'
 'GO:0016070' 'GO:0018130' 'GO:0019438' 'GO:0032501' 'GO:0032502'
 'GO:0032774' 'GO:0034641' 'GO:0034645' 'GO:0034654' 'GO:0043170'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271'
 'GO:0044699' 'GO:0044707' 'GO:0044767' 'GO:0046483' 'GO:0048856'
 'GO:0071704' 'GO:0090304' 'GO:0097659' 'GO:1901360' 'GO:1901362'
 'GO:1901576']"
4299,"['GO:0006810' 'GO:0006811' 'GO:0006812' 'GO:0009987' 'GO:0015693'
 'GO:0030001' 'GO:0034220' 'GO:0044699' 'GO:0044765' 'GO:0051179'
 'GO:0051234' 'GO:0055085' 'GO:0070838' 'GO:0072511' 'GO:0098655'
 'GO:0098660' 'GO:1902578']"
4422,"['GO:0006139' 'GO:0006351' 'GO:0006352' 'GO:0006355' 'GO:0006383'
 'GO:0006384' 'GO:0006725' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009889' 'GO:0009987' 'GO:0010467' 'GO:0010468'
 'GO:0010556' 'GO:0016070' 'GO:0018130' 'GO:0019219' 'GO:0019222'
 'GO:0019438' 'GO:0031323' 'GO:0031326' 'GO:0032774' 'GO:0034641'
 'GO:0034645' 'GO:0034654' 'GO:0043170' 'GO:0044237' 'GO:0044238'
 'GO:0044249' 'GO:0044260' 'GO:0044271' 'GO:0046483' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255' 'GO:0065007'
 'GO:0071704' 'GO:0080090' 'GO:0090304' 'GO:0097659' 'GO:1901360'
 'GO:1901362' 'GO:1901576' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
4508,"['GO:0006139' 'GO:0006364' 'GO:0006396' 'GO:0006725' 'GO:0006807'
 'GO:0008152' 'GO:0009987' 'GO:0010467' 'GO:0016070' 'GO:0016072'
 'GO:0022613' 'GO:0030490' 'GO:0034470' 'GO:0034641' 'GO:0034660'
 'GO:0042254' 'GO:0042274' 'GO:0043170' 'GO:0044085' 'GO:0044237'
 'GO:0044238' 'GO:0046483' 'GO:0071704' 'GO:0071840' 'GO:0090304'
 'GO:1901360']"
4513,"['GO:0006508' 'GO:0006807' 'GO:0008152' 'GO:0009056' 'GO:0009057'
 'GO:0009987' 'GO:0019538' 'GO:0019941' 'GO:0030163' 'GO:0043170'
 'GO:0043632' 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044257'
 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0051603' 'GO:0071704'
 'GO:1901564' 'GO:1901565' 'GO:1901575']"
4533,"['GO:0001101' 'GO:0006950' 'GO:0009415' 'GO:0009628' 'GO:0010035'
 'GO:0042221' 'GO:0050896' 'GO:1901700']"
4536,"['GO:0006355' 'GO:0006357' 'GO:0009889' 'GO:0010468' 'GO:0010556'
 'GO:0019219' 'GO:0019222' 'GO:0031323' 'GO:0031326' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255' 'GO:0065007'
 'GO:0080090' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
4558,"['GO:0000226' 'GO:0000278' 'GO:0006508' 'GO:0006511' 'GO:0006515'
 'GO:0006807' 'GO:0006810' 'GO:0006811' 'GO:0006820' 'GO:0006886'
 'GO:0006914' 'GO:0006950' 'GO:0006996' 'GO:0007010' 'GO:0007017'
 'GO:0007049' 'GO:0007051' 'GO:0007052' 'GO:0008104' 'GO:0008152'
 'GO:0009056' 'GO:0009057' 'GO:0009987' 'GO:0010033' 'GO:0010243'
 'GO:0010498' 'GO:0015031' 'GO:0015833' 'GO:0016043' 'GO:0016236'
 'GO:0019538' 'GO:0019941' 'GO:0022402' 'GO:0022411' 'GO:0030163'
 'GO:0030433' 'GO:0030970' 'GO:0032527' 'GO:0032984' 'GO:0033036'
 'GO:0033554' 'GO:0034613' 'GO:0034976' 'GO:0035966' 'GO:0035967'
 'GO:0036503' 'GO:0042221' 'GO:0042886' 'GO:0043161' 'GO:0043170'
 'GO:0043632' 'GO:0043933' 'GO:0044237' 'GO:0044238' 'GO:0044248'
 'GO:0044257' 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0045184'
 'GO:0046907' 'GO:0050896' 'GO:0051179' 'GO:0051234' 'GO:0051603'
 'GO:0051641' 'GO:0051649' 'GO:0051716' 'GO:0051788' 'GO:0061919'
 'GO:0070727' 'GO:0070887' 'GO:0071218' 'GO:0071310' 'GO:0071702'
 'GO:0071704' 'GO:0071705' 'GO:0071712' 'GO:0071840' 'GO:0097352'
 'GO:1901564' 'GO:1901565' 'GO:1901575' 'GO:1901698' 'GO:1902850'
 'GO:1903008' 'GO:1903047' 'GO:1903513']"
4681,"['GO:0006082' 'GO:0006725' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009072' 'GO:0009073' 'GO:0009987' 'GO:0016053' 'GO:0019438'
 'GO:0044237' 'GO:0044249' 'GO:0044281' 'GO:0044283' 'GO:0044699'
 'GO:0044710' 'GO:0044711' 'GO:0044763' 'GO:0071704' 'GO:1901360'
 'GO:1901362' 'GO:1901564' 'GO:1901566' 'GO:1901576']"
4688,"['GO:0007154' 'GO:0007165' 'GO:0009987' 'GO:0023052' 'GO:0050789'
 'GO:0050794' 'GO:0050896' 'GO:0065007']"
4736,"['GO:0006139' 'GO:0006396' 'GO:0006725' 'GO:0006807' 'GO:0006873'
 'GO:0006874' 'GO:0006875' 'GO:0008152' 'GO:0009987' 'GO:0010467'
 'GO:0016070' 'GO:0019725' 'GO:0030003' 'GO:0034641' 'GO:0042592'
 'GO:0043170' 'GO:0044237' 'GO:0044238' 'GO:0044260' 'GO:0046483'
 'GO:0048878' 'GO:0050801' 'GO:0055065' 'GO:0055074' 'GO:0055080'
 'GO:0055082' 'GO:0065007' 'GO:0065008' 'GO:0071704' 'GO:0072503'
 'GO:0072507' 'GO:0090304' 'GO:0098771' 'GO:1901360']"
4765,"['GO:0005975' 'GO:0008152' 'GO:0009987' 'GO:0016043' 'GO:0044238'
 'GO:0045229' 'GO:0071554' 'GO:0071555' 'GO:0071704' 'GO:0071840']"
4933,"['GO:0006139' 'GO:0006259' 'GO:0006281' 'GO:0006725' 'GO:0006807'
 'GO:0006950' 'GO:0006974' 'GO:0008152' 'GO:0009987' 'GO:0033554'
 'GO:0034641' 'GO:0043170' 'GO:0044237' 'GO:0044238' 'GO:0044260'
 'GO:0046483' 'GO:0050896' 'GO:0051716' 'GO:0071704' 'GO:0090304'
 'GO:1901360']"
4936,['GO:0006457' 'GO:0009987']
4977,"['GO:0006412' 'GO:0006518' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009987' 'GO:0010467' 'GO:0019538' 'GO:0034641'
 'GO:0034645' 'GO:0043043' 'GO:0043170' 'GO:0043603' 'GO:0043604'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044267'
 'GO:0044271' 'GO:0071704' 'GO:1901564' 'GO:1901566' 'GO:1901576']"
5092,"['GO:0006082' 'GO:0006520' 'GO:0006536' 'GO:0006538' 'GO:0006807'
 'GO:0008152' 'GO:0009056' 'GO:0009063' 'GO:0009064' 'GO:0009065'
 'GO:0009987' 'GO:0016054' 'GO:0019752' 'GO:0043436' 'GO:0043648'
 'GO:0043649' 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044281'
 'GO:0044282' 'GO:0044699' 'GO:0044710' 'GO:0044763' 'GO:0046395'
 'GO:0071704' 'GO:1901564' 'GO:1901565' 'GO:1901575' 'GO:1901605'
 'GO:1901606']"
5182,"['GO:0000226' 'GO:0006928' 'GO:0006996' 'GO:0007010' 'GO:0007017'
 'GO:0007018' 'GO:0007049' 'GO:0009987' 'GO:0016043' 'GO:0022402'
 'GO:0022607' 'GO:0044085' 'GO:0044699' 'GO:0044763' 'GO:0070925'
 'GO:0071840']"
5205,"['GO:0006508' 'GO:0006807' 'GO:0008152' 'GO:0019538' 'GO:0043170'
 'GO:0044238' 'GO:0071704' 'GO:1901564']"
5263,"['GO:0007154' 'GO:0007165' 'GO:0009892' 'GO:0009894' 'GO:0009895'
 'GO:0009987' 'GO:0010506' 'GO:0010507' 'GO:0016241' 'GO:0016242'
 'GO:0019222' 'GO:0023052' 'GO:0031323' 'GO:0031324' 'GO:0031329'
 'GO:0031330' 'GO:0031929' 'GO:0035556' 'GO:0038202' 'GO:0048519'
 'GO:0048523' 'GO:0050789' 'GO:0050794' 'GO:0050896' 'GO:0065007']"
5265,"['GO:0006508' 'GO:0006515' 'GO:0006807' 'GO:0006950' 'GO:0008152'
 'GO:0009056' 'GO:0009057' 'GO:0009987' 'GO:0010033' 'GO:0010243'
 'GO:0010498' 'GO:0019538' 'GO:0019941' 'GO:0030163' 'GO:0033554'
 'GO:0034976' 'GO:0035966' 'GO:0035967' 'GO:0036503' 'GO:0042221'
 'GO:0043170' 'GO:0043632' 'GO:0044237' 'GO:0044238' 'GO:0044248'
 'GO:0044257' 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0050896'
 'GO:0051603' 'GO:0051716' 'GO:0051788' 'GO:0070887' 'GO:0071218'
 'GO:0071310' 'GO:0071704' 'GO:0071712' 'GO:1901564' 'GO:1901565'
 'GO:1901575' 'GO:1901698']"
5323,"['GO:0006464' 'GO:0006473' 'GO:0006474' 'GO:0006807' 'GO:0008152'
 'GO:0009987' 'GO:0010467' 'GO:0017196' 'GO:0018193' 'GO:0018206'
 'GO:0019538' 'GO:0031365' 'GO:0036211' 'GO:0043170' 'GO:0043412'
 'GO:0043543' 'GO:0044237' 'GO:0044238' 'GO:0044260' 'GO:0044267'
 'GO:0051604' 'GO:0071704' 'GO:1901564']"
5395,"['GO:0006807' 'GO:0008152' 'GO:0009056' 'GO:0009057' 'GO:0019538'
 'GO:0030163' 'GO:0043170' 'GO:0044238' 'GO:0071704' 'GO:1901564'
 'GO:1901565' 'GO:1901575']"
5412,['GO:0006810' 'GO:0051179' 'GO:0051234']
5536,"['GO:0006508' 'GO:0006511' 'GO:0006807' 'GO:0008152' 'GO:0009056'
 'GO:0009057' 'GO:0009987' 'GO:0010498' 'GO:0019538' 'GO:0019941'
 'GO:0030163' 'GO:0031146' 'GO:0043161' 'GO:0043170' 'GO:0043632'
 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044257' 'GO:0044260'
 'GO:0044265' 'GO:0044267' 'GO:0051603' 'GO:0071704' 'GO:1901564'
 'GO:1901565' 'GO:1901575']"
5544,"['GO:0006810' 'GO:0006887' 'GO:0006904' 'GO:0009987' 'GO:0016192'
 'GO:0022406' 'GO:0032940' 'GO:0044699' 'GO:0044763' 'GO:0044765'
 'GO:0046903' 'GO:0048278' 'GO:0051179' 'GO:0051234' 'GO:0051640'
 'GO:0051641' 'GO:0140029' 'GO:0140056' 'GO:0140352' 'GO:1902578']"
5559,"['GO:0006412' 'GO:0006518' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009987' 'GO:0010467' 'GO:0019538' 'GO:0034641'
 'GO:0034645' 'GO:0043043' 'GO:0043170' 'GO:0043603' 'GO:0043604'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044267'
 'GO:0044271' 'GO:0071704' 'GO:1901564' 'GO:1901566' 'GO:1901576']"
